trial_info,phase,trial_time,event,x,y
training 1,exploration,0.0,,0.0,0.0
training 1,exploration,0.011,,0.0,0.0
training 1,exploration,0.015,,0.0,0.0
training 1,exploration,0.019,,0.0,0.0
training 1,exploration,0.022,,0.0,0.0
training 1,exploration,0.026,,0.0,0.0
training 1,exploration,0.031,,0.0,0.0
training 1,exploration,0.035,,0.0,0.0
training 1,exploration,0.039,,0.0,0.0
training 1,exploration,0.043,,0.0,0.0
training 1,exploration,0.047,,0.0,0.0
training 1,exploration,0.051,,0.0,0.0
training 1,exploration,0.055,,0.0,0.0
training 1,exploration,0.059,,0.0,0.0
training 1,exploration,0.064,,0.0,0.0
training 1,exploration,0.068,,0.0,0.0
training 1,exploration,0.072,,0.0,0.0
training 1,exploration,0.076,,0.0,0.0
training 1,exploration,0.08,,0.0,0.0
training 1,exploration,0.084,,0.0,0.0
training 1,exploration,0.088,,0.0,0.0
training 1,exploration,0.092,,0.0,0.0
training 1,exploration,0.097,,0.0,0.0
training 1,exploration,0.101,,0.0,0.0
training 1,exploration,0.105,,0.0,0.0
training 1,exploration,0.109,,0.0,0.0
training 1,exploration,0.114,,0.0,0.0
training 1,exploration,0.118,,0.0,0.0
training 1,exploration,0.121,,0.0,0.0
training 1,exploration,0.125,,0.0,0.0
training 1,exploration,0.129,,0.0,0.0
training 1,exploration,0.134,,0.0,0.0
training 1,exploration,0.138,,0.0,0.0
training 1,exploration,0.142,,0.0,0.0
training 1,exploration,0.147,,0.0,0.0
training 1,exploration,0.151,,0.0,0.0
training 1,exploration,0.154,,0.0,0.0
training 1,exploration,0.158,,0.0,0.0
training 1,exploration,0.163,,0.0,0.0
training 1,exploration,0.167,,0.0,0.0
training 1,exploration,0.171,,0.0,0.0
training 1,exploration,0.175,,0.0,0.0
training 1,exploration,0.179,,0.0,0.0
training 1,exploration,0.183,,0.0,0.0
training 1,exploration,0.187,,0.0,0.0
training 1,exploration,0.191,,0.0,0.0
training 1,exploration,0.196,,0.0,0.0
training 1,exploration,0.2,,0.0,0.0
training 1,exploration,0.204,,0.0,0.0
training 1,exploration,0.209,,0.0,0.0
training 1,exploration,0.213,,0.0,0.0
training 1,exploration,0.217,,0.0,0.0
training 1,exploration,0.221,,0.0,0.0
training 1,exploration,0.226,,0.0,0.0
training 1,exploration,0.23,,0.0,0.0
training 1,exploration,0.234,,0.0,0.0
training 1,exploration,0.238,,0.0,0.0
training 1,exploration,0.242,,0.0,0.0
training 1,exploration,0.246,,0.0,0.0
training 1,exploration,0.25,,0.0,0.0
training 1,exploration,0.254,,0.0,0.0
training 1,exploration,0.259,,0.0,0.0
training 1,exploration,0.264,,0.0,0.0
training 1,exploration,0.268,,0.0,0.0
training 1,exploration,0.271,,0.0,0.0
training 1,exploration,0.275,,0.0,0.0
training 1,exploration,0.279,,0.0,0.0
training 1,exploration,0.283,,0.0,0.0
training 1,exploration,0.287,,0.0,0.0
training 1,exploration,0.292,,0.0,0.0
training 1,exploration,0.297,,0.0,0.0
training 1,exploration,0.3,,0.0,0.0
training 1,exploration,0.305,,0.0,0.0
training 1,exploration,0.309,,0.0,0.0
training 1,exploration,0.313,,0.0,0.0
training 1,exploration,0.318,,0.0,0.0
training 1,exploration,0.322,,0.0,0.0
training 1,exploration,0.326,,0.0,0.0
training 1,exploration,0.331,,0.0,0.0
training 1,exploration,0.335,,0.0,0.0
training 1,exploration,0.34,,0.0,0.0
training 1,exploration,0.344,,0.0,0.0
training 1,exploration,0.348,,0.0,0.0
training 1,exploration,0.352,,0.0,0.0
training 1,exploration,0.356,,0.0,0.0
training 1,exploration,0.361,,0.0,0.0
training 1,exploration,0.365,,0.0,0.0
training 1,exploration,0.369,,0.0,0.0
training 1,exploration,0.373,,0.0,0.0
training 1,exploration,0.377,,0.0,0.0
training 1,exploration,0.381,,0.0,0.0
training 1,exploration,0.385,,0.0,0.0
training 1,exploration,0.39,,0.0,0.0
training 1,exploration,0.395,,0.0,0.0
training 1,exploration,0.399,,0.0,0.0
training 1,exploration,0.403,,0.0,0.0
training 1,exploration,0.407,,0.0,0.0
training 1,exploration,0.411,,0.0,0.0
training 1,exploration,0.415,,0.0,0.0
training 1,exploration,0.419,,0.0,0.0
training 1,exploration,0.423,,0.0,0.0
training 1,exploration,0.427,,0.0,0.0
training 1,exploration,0.432,,0.0,0.0
training 1,exploration,0.437,,0.0,0.0
training 1,exploration,0.441,,0.0,0.0
training 1,exploration,0.445,,0.0,0.0
training 1,exploration,0.449,,0.0,0.0
training 1,exploration,0.453,,0.0,0.0
training 1,exploration,0.457,,0.0,0.0
training 1,exploration,0.462,,0.0,0.0
training 1,exploration,0.466,,0.0,0.0
training 1,exploration,0.47,,0.0,0.0
training 1,exploration,0.474,,0.0,0.0
training 1,exploration,0.477,,0.0,0.0
training 1,exploration,0.481,,0.0,0.0
training 1,exploration,0.485,,0.0,0.0
training 1,exploration,0.489,,0.0,0.0
training 1,exploration,0.493,,0.0,0.0
training 1,exploration,0.498,,0.0,0.0
training 1,exploration,0.502,,0.0,0.0
training 1,exploration,0.506,,0.0,0.0
training 1,exploration,0.51,,0.0,0.0
training 1,exploration,0.514,,0.0,0.0
training 1,exploration,0.518,,0.0,0.0
training 1,exploration,0.522,,0.0,0.0
training 1,exploration,0.526,,0.0,0.0
