trial,assigned_delay,movement_start_time,target_placement_time,exploration_time,annotation_time,target_location,target_annotation,error_distance
training 1,12,1.51,13.51,24.051,12.2,"[0.42, 0.88]","[0.42, 0.88]",0.0
training 2,13,2.55,15.86,33.767,11.2,"[0.41, 1.25]","[0.4, 1.2]",0.0509901951359278
training 3,13,1.04,14.42,19.363,6.61,"[-0.9, 0.98]","[-0.94, 1.04]",0.0721110255092798
dark_training 1,10,1.01,11.01,214.962,16.57,"[-0.52, 0.01]","[-0.08, -0.12]",0.4588027898781784
dark_training 2,12,0.89,16.67,26.694,12.69,"[0.12, 1.44]","[0.22, 1.59]",0.1802775637731996
dark_training 3,15,0.72,18.13,22.021,17.71,"[-0.34, -1.41]","[-0.24, -1.47]",0.116619037896906
test 1,11,1.3,16.33,20.542,3.28,"[0.46, 0.21]","[0.0, 0.0]",0.5056678751908212
test 2,11,1.07,12.52,20.324,8.16,"[0.46, 0.19]","[0.31, -0.02]",0.2580697580112788
test 3,8,0.58,12.15,15.164,5.18,"[0.46, 0.21]","[0.39, 0.34]",0.147648230602334
test 4,9,0.73,13.27,15.751,5.93,"[0.5, 0.07]","[0.43, -0.0]",0.0989949493661166
test 5,9,1.09,13.06,15.171,6.19,"[0.48, 0.15]","[0.54, 0.02]",0.1431782106327635
